country,gw,gd,gl,gf,ga,stage
Algeria,1,1,1,5,7,GROUP
Argentina,3,0,0,8,1,GROUP
Australia,1,1,1,2,2,GROUP
Austria,1,1,1,6,6,GROUP
Belgium,1,2,0,6,2,GROUP
Bosnia-Herzegovina,1,1,1,5,6,GROUP
Brazil,2,1,0,7,1,R32
Canada,1,1,1,8,3,R32
Cape Verde,0,3,0,2,2,GROUP
Colombia,2,1,0,4,1,GROUP
Congo DR,1,1,1,4,3,GROUP
Croatia,2,0,1,5,5,GROUP
Curaçao,0,1,2,1,9,GROUP
Czechia,0,1,2,2,6,GROUP
Ecuador,1,1,1,2,2,GROUP
Egypt,1,2,0,5,3,GROUP
England,2,1,0,6,2,GROUP
France,3,0,0,10,2,GROUP
Germany,2,0,1,10,4,GROUP
Ghana,1,1,1,2,2,GROUP
Haiti,0,0,3,2,8,GROUP
Iran,0,3,0,3,3,GROUP
Iraq,0,0,3,1,12,GROUP
Ivory Coast,2,0,1,4,2,GROUP
Japan,1,2,0,7,3,R32
Jordan,0,0,3,3,8,GROUP
Mexico,3,0,0,6,0,GROUP
Morocco,2,1,0,6,3,GROUP
Netherlands,2,1,0,10,4,GROUP
New Zealand,0,1,2,4,10,GROUP
Norway,2,0,1,8,7,GROUP
Panama,0,0,3,0,4,GROUP
Paraguay,1,1,1,2,4,GROUP
Portugal,1,2,0,6,1,GROUP
Qatar,0,1,2,2,10,GROUP
Saudi Arabia,0,2,1,1,5,GROUP
Scotland,1,0,2,1,4,GROUP
Senegal,1,0,2,8,6,GROUP
South Africa,1,1,1,2,3,R32
South Korea,1,0,2,2,3,GROUP
Spain,2,1,0,5,0,GROUP
Sweden,1,1,1,7,7,GROUP
Switzerland,2,1,0,7,3,GROUP
Tunisia,0,0,3,2,12,GROUP
Türkiye,1,0,2,3,5,GROUP
United States,2,0,1,8,4,GROUP
Uruguay,0,2,1,3,4,GROUP
Uzbekistan,0,0,3,2,11,GROUP
